fips,cattle_type,event_name,event_delta_head_10pp,event_delta_endorsement_10pp
48253,fed,pm19_coverage_dependent,0,0
48277,fed,pm19_coverage_dependent,0,0
48303,fed,pm19_coverage_dependent,0,0
48325,fed,pm19_coverage_dependent,0,0
48341,fed,pm19_coverage_dependent,0,0
48357,fed,pm19_coverage_dependent,0,0
48359,fed,pm19_coverage_dependent,0,0
48369,fed,pm19_coverage_dependent,0,0
48375,fed,pm19_coverage_dependent,0,0
48381,fed,pm19_coverage_dependent,0,0
48421,fed,pm19_coverage_dependent,0,0
48463,fed,pm19_coverage_dependent,0,0
49003,fed,pm19_coverage_dependent,0,0
53021,fed,pm19_coverage_dependent,0,0
53037,fed,pm19_coverage_dependent,0,0
53071,fed,pm19_coverage_dependent,0,0
53077,fed,pm19_coverage_dependent,0,0
55019,fed,pm19_coverage_dependent,0,0
55023,fed,pm19_coverage_dependent,0,0
55025,fed,pm19_coverage_dependent,0,0
55027,fed,pm19_coverage_dependent,0,0
55043,fed,pm19_coverage_dependent,0,0
55045,fed,pm19_coverage_dependent,0,0
55049,fed,pm19_coverage_dependent,0,0
55065,fed,pm19_coverage_dependent,0,0
55087,fed,pm19_coverage_dependent,0,0
55093,fed,pm19_coverage_dependent,0.7,0.7
55105,fed,pm19_coverage_dependent,0,0
55111,fed,pm19_coverage_dependent,0,0
56015,fed,pm19_coverage_dependent,0,0
56027,fed,pm19_coverage_dependent,0,0
1001,feeder,pm19_coverage_dependent,0,0
1003,feeder,pm19_coverage_dependent,0,0
1011,feeder,pm19_coverage_dependent,0,0
1031,feeder,pm19_coverage_dependent,0,0
1039,feeder,pm19_coverage_dependent,1.19157303370787,1.12857142857143
1043,feeder,pm19_coverage_dependent,0,0
1047,feeder,pm19_coverage_dependent,0,0
1049,feeder,pm19_coverage_dependent,0,0
1055,feeder,pm19_coverage_dependent,0,0
1059,feeder,pm19_coverage_dependent,0,0
1061,feeder,pm19_coverage_dependent,0,0
1063,feeder,pm19_coverage_dependent,0,0
1065,feeder,pm19_coverage_dependent,0,0
1071,feeder,pm19_coverage_dependent,0,0
1077,feeder,pm19_coverage_dependent,0,0
1079,feeder,pm19_coverage_dependent,0,0
1083,feeder,pm19_coverage_dependent,0,0
1085,feeder,pm19_coverage_dependent,0,0
1091,feeder,pm19_coverage_dependent,0,0
1095,feeder,pm19_coverage_dependent,0,0
1099,feeder,pm19_coverage_dependent,0,0
1101,feeder,pm19_coverage_dependent,0,0
1107,feeder,pm19_coverage_dependent,0,0
1109,feeder,pm19_coverage_dependent,0,0
1131,feeder,pm19_coverage_dependent,0,0
4003,feeder,pm19_coverage_dependent,0,0
4009,feeder,pm19_coverage_dependent,0,0
4013,feeder,pm19_coverage_dependent,0,0
4017,feeder,pm19_coverage_dependent,0,0
4021,feeder,pm19_coverage_dependent,0,0
4025,feeder,pm19_coverage_dependent,0,0
5001,feeder,pm19_coverage_dependent,0,0
5007,feeder,pm19_coverage_dependent,0,0
5029,feeder,pm19_coverage_dependent,0,0
5063,feeder,pm19_coverage_dependent,0,0
5073,feeder,pm19_coverage_dependent,0,0
5081,feeder,pm19_coverage_dependent,0,0
5091,feeder,pm19_coverage_dependent,0,0
5121,feeder,pm19_coverage_dependent,0,0
5145,feeder,pm19_coverage_dependent,0,0
6011,feeder,pm19_coverage_dependent,0,0
6019,feeder,pm19_coverage_dependent,0,0
6021,feeder,pm19_coverage_dependent,0,0
6029,feeder,pm19_coverage_dependent,0,0
6031,feeder,pm19_coverage_dependent,0,0
6035,feeder,pm19_coverage_dependent,0,0
6039,feeder,pm19_coverage_dependent,0,0
6043,feeder,pm19_coverage_dependent,0,0
6047,feeder,pm19_coverage_dependent,0,0
6049,feeder,pm19_coverage_dependent,0,0
6053,feeder,pm19_coverage_dependent,0,0
6067,feeder,pm19_coverage_dependent,0,0
6079,feeder,pm19_coverage_dependent,0,0
6089,feeder,pm19_coverage_dependent,0,0
6095,feeder,pm19_coverage_dependent,0,0
6099,feeder,pm19_coverage_dependent,0,0
6103,feeder,pm19_coverage_dependent,0,0
6107,feeder,pm19_coverage_dependent,0,0
8003,feeder,pm19_coverage_dependent,0,0
8009,feeder,pm19_coverage_dependent,0,0
8011,feeder,pm19_coverage_dependent,0,0
8017,feeder,pm19_coverage_dependent,0,0
8021,feeder,pm19_coverage_dependent,0,0
8025,feeder,pm19_coverage_dependent,0,0
8029,feeder,pm19_coverage_dependent,0,0
8039,feeder,pm19_coverage_dependent,0,0
8041,feeder,pm19_coverage_dependent,0,0
8051,feeder,pm19_coverage_dependent,0,0
8061,feeder,pm19_coverage_dependent,0.7,0.7
8063,feeder,pm19_coverage_dependent,0.7,0.7
8067,feeder,pm19_coverage_dependent,0,0
8069,feeder,pm19_coverage_dependent,0,0
8071,feeder,pm19_coverage_dependent,0,0
8073,feeder,pm19_coverage_dependent,0,0
8075,feeder,pm19_coverage_dependent,0,0
8077,feeder,pm19_coverage_dependent,0,0
8081,feeder,pm19_coverage_dependent,0,0
8085,feeder,pm19_coverage_dependent,0,0
8087,feeder,pm19_coverage_dependent,0,0
8089,feeder,pm19_coverage_dependent,0,0
8095,feeder,pm19_coverage_dependent,0,0
8099,feeder,pm19_coverage_dependent,0,0
8101,feeder,pm19_coverage_dependent,0,0
8103,feeder,pm19_coverage_dependent,0,0
8105,feeder,pm19_coverage_dependent,0,0
8107,feeder,pm19_coverage_dependent,0,0
8109,feeder,pm19_coverage_dependent,0,0
8115,feeder,pm19_coverage_dependent,0,0
8121,feeder,pm19_coverage_dependent,0,0
8123,feeder,pm19_coverage_dependent,0.843835616438356,0.755555555555556
8125,feeder,pm19_coverage_dependent,0.7,0.7
12001,feeder,pm19_coverage_dependent,0,0
12049,feeder,pm19_coverage_dependent,0,0
12055,feeder,pm19_coverage_dependent,0,0
12063,feeder,pm19_coverage_dependent,0,0
12065,feeder,pm19_coverage_dependent,0,0
12075,feeder,pm19_coverage_dependent,0,0
12081,feeder,pm19_coverage_dependent,0,0
12093,feeder,pm19_coverage_dependent,0,0
12105,feeder,pm19_coverage_dependent,0,0
12119,feeder,pm19_coverage_dependent,0,0
13027,feeder,pm19_coverage_dependent,0,0
13031,feeder,pm19_coverage_dependent,0,0
13033,feeder,pm19_coverage_dependent,0,0
13071,feeder,pm19_coverage_dependent,0,0
13243,feeder,pm19_coverage_dependent,0,0
13295,feeder,pm19_coverage_dependent,0,0
13303,feeder,pm19_coverage_dependent,0,0
16001,feeder,pm19_coverage_dependent,0,0
16005,feeder,pm19_coverage_dependent,0,0
16007,feeder,pm19_coverage_dependent,0,0
16011,feeder,pm19_coverage_dependent,0,0
16019,feeder,pm19_coverage_dependent,0,0
16023,feeder,pm19_coverage_dependent,0,0
16027,feeder,pm19_coverage_dependent,0,0
16029,feeder,pm19_coverage_dependent,0,0
16031,feeder,pm19_coverage_dependent,0,0
16037,feeder,pm19_coverage_dependent,0,0
16039,feeder,pm19_coverage_dependent,0,0
16041,feeder,pm19_coverage_dependent,0,0
16049,feeder,pm19_coverage_dependent,0,0
16051,feeder,pm19_coverage_dependent,0,0
16053,feeder,pm19_coverage_dependent,0,0
16059,feeder,pm19_coverage_dependent,0,0
16061,feeder,pm19_coverage_dependent,0,0
16067,feeder,pm19_coverage_dependent,0,0
16069,feeder,pm19_coverage_dependent,0,0
16073,feeder,pm19_coverage_dependent,0,0
16075,feeder,pm19_coverage_dependent,0,0
16077,feeder,pm19_coverage_dependent,0,0
16083,feeder,pm19_coverage_dependent,0.826865671641791,0.727777777777778
16085,feeder,pm19_coverage_dependent,0,0
16087,feeder,pm19_coverage_dependent,0,0
17001,feeder,pm19_coverage_dependent,0,0
17007,feeder,pm19_coverage_dependent,0,0
17041,feeder,pm19_coverage_dependent,0,0
17057,feeder,pm19_coverage_dependent,0,0
17067,feeder,pm19_coverage_dependent,0,0
17071,feeder,pm19_coverage_dependent,0,0
17073,feeder,pm19_coverage_dependent,0,0
17081,feeder,pm19_coverage_dependent,0,0
17085,feeder,pm19_coverage_dependent,0,0
17109,feeder,pm19_coverage_dependent,0,0
17131,feeder,pm19_coverage_dependent,0,0
17141,feeder,pm19_coverage_dependent,0,0
17149,feeder,pm19_coverage_dependent,0,0
17161,feeder,pm19_coverage_dependent,0,0
17173,feeder,pm19_coverage_dependent,0,0
17187,feeder,pm19_coverage_dependent,0,0
17191,feeder,pm19_coverage_dependent,0,0
18017,feeder,pm19_coverage_dependent,0,0
18137,feeder,pm19_coverage_dependent,0,0
18167,feeder,pm19_coverage_dependent,0,0
18175,feeder,pm19_coverage_dependent,0,0
19001,feeder,pm19_coverage_dependent,0,0
19003,feeder,pm19_coverage_dependent,0,0
19005,feeder,pm19_coverage_dependent,0,0
19007,feeder,pm19_coverage_dependent,0,0
19009,feeder,pm19_coverage_dependent,0,0
19011,feeder,pm19_coverage_dependent,0,0
19013,feeder,pm19_coverage_dependent,0,0
19015,feeder,pm19_coverage_dependent,0,0
19019,feeder,pm19_coverage_dependent,0,0
19021,feeder,pm19_coverage_dependent,0,0
19025,feeder,pm19_coverage_dependent,0,0
19027,feeder,pm19_coverage_dependent,0,0
19029,feeder,pm19_coverage_dependent,0,0
19031,feeder,pm19_coverage_dependent,0,0
19033,feeder,pm19_coverage_dependent,0,0
19035,feeder,pm19_coverage_dependent,0,0
19037,feeder,pm19_coverage_dependent,0,0
19039,feeder,pm19_coverage_dependent,0,0
19041,feeder,pm19_coverage_dependent,0,0
19043,feeder,pm19_coverage_dependent,0,0
19045,feeder,pm19_coverage_dependent,0,0
19047,feeder,pm19_coverage_dependent,0,0
19049,feeder,pm19_coverage_dependent,0,0
19051,feeder,pm19_coverage_dependent,0,0
19053,feeder,pm19_coverage_dependent,1.38936170212766,1.2
19055,feeder,pm19_coverage_dependent,0,0
19057,feeder,pm19_coverage_dependent,0,0
19061,feeder,pm19_coverage_dependent,0,0
19063,feeder,pm19_coverage_dependent,0,0
19065,feeder,pm19_coverage_dependent,0,0
19071,feeder,pm19_coverage_dependent,0,0
19073,feeder,pm19_coverage_dependent,0,0
19075,feeder,pm19_coverage_dependent,0,0
19077,feeder,pm19_coverage_dependent,0,0
19079,feeder,pm19_coverage_dependent,0,0
19083,feeder,pm19_coverage_dependent,0,0
19085,feeder,pm19_coverage_dependent,0,0
19087,feeder,pm19_coverage_dependent,0,0
19089,feeder,pm19_coverage_dependent,0,0
19093,feeder,pm19_coverage_dependent,0,0
19095,feeder,pm19_coverage_dependent,0,0
19097,feeder,pm19_coverage_dependent,0,0
19099,feeder,pm19_coverage_dependent,0,0
19101,feeder,pm19_coverage_dependent,0,0
19103,feeder,pm19_coverage_dependent,0,0
19105,feeder,pm19_coverage_dependent,0,0
19107,feeder,pm19_coverage_dependent,0,0
19109,feeder,pm19_coverage_dependent,0,0
19111,feeder,pm19_coverage_dependent,0,0
19113,feeder,pm19_coverage_dependent,0,0
19115,feeder,pm19_coverage_dependent,0,0
19117,feeder,pm19_coverage_dependent,0,0
19119,feeder,pm19_coverage_dependent,0,0
19121,feeder,pm19_coverage_dependent,0,0
19123,feeder,pm19_coverage_dependent,0,0
19125,feeder,pm19_coverage_dependent,0,0
19127,feeder,pm19_coverage_dependent,0,0
19129,feeder,pm19_coverage_dependent,0,0
19131,feeder,pm19_coverage_dependent,0,0
19133,feeder,pm19_coverage_dependent,0,0
19135,feeder,pm19_coverage_dependent,0,0
19137,feeder,pm19_coverage_dependent,0,0
19141,feeder,pm19_coverage_dependent,0.73462783171521,0.771428571428571
19143,feeder,pm19_coverage_dependent,0,0
19145,feeder,pm19_coverage_dependent,0,0
19147,feeder,pm19_coverage_dependent,0,0
19149,feeder,pm19_coverage_dependent,0,0
19153,feeder,pm19_coverage_dependent,0,0
19155,feeder,pm19_coverage_dependent,0,0
19157,feeder,pm19_coverage_dependent,0,0
19159,feeder,pm19_coverage_dependent,0,0
19161,feeder,pm19_coverage_dependent,0,0
19165,feeder,pm19_coverage_dependent,0,0
19167,feeder,pm19_coverage_dependent,0,0
19169,feeder,pm19_coverage_dependent,0,0
19171,feeder,pm19_coverage_dependent,0,0
19173,feeder,pm19_coverage_dependent,0,0
19175,feeder,pm19_coverage_dependent,0,0
19177,feeder,pm19_coverage_dependent,0,0
19179,feeder,pm19_coverage_dependent,0,0
19181,feeder,pm19_coverage_dependent,0,0
19183,feeder,pm19_coverage_dependent,0,0
19185,feeder,pm19_coverage_dependent,0,0
19187,feeder,pm19_coverage_dependent,0,0
19191,feeder,pm19_coverage_dependent,0.7,0.7
19193,feeder,pm19_coverage_dependent,0,0
20001,feeder,pm19_coverage_dependent,0,0
20003,feeder,pm19_coverage_dependent,0,0
20005,feeder,pm19_coverage_dependent,0,0
20007,feeder,pm19_coverage_dependent,0.799206349206349,0.825
