cattle_type,month,coverage_bin,coverage_label,bin_order,insured_head,endorsements,head_share,endorsement_share
fed,2022-08-01,b70_79,70--79.99%,1,0,0,0,0
fed,2022-08-01,b80_84,80--84.99%,2,0,0,0,0
fed,2022-08-01,b85_89,85--89.99%,3,256,4,0.00442386120135481,0.0193236714975845
fed,2022-08-01,b90_94,90--94.99%,4,1623,11,0.0280465887882768,0.0531400966183575
fed,2022-08-01,b95_100,95--100%,5,55989,192,0.967529550010368,0.927536231884058
fed,2022-10-01,b70_79,70--79.99%,1,0,0,0,0
fed,2022-10-01,b80_84,80--84.99%,2,0,0,0,0
fed,2022-10-01,b85_89,85--89.99%,3,236,3,0.0065617527665017,0.0254237288135593
fed,2022-10-01,b90_94,90--94.99%,4,1882,12,0.0523271979091364,0.101694915254237
fed,2022-10-01,b95_100,95--100%,5,33848,103,0.941111049324362,0.872881355932204
fed,2022-12-01,b70_79,70--79.99%,1,0,0,0,0
fed,2022-12-01,b80_84,80--84.99%,2,0,0,0,0
fed,2022-12-01,b85_89,85--89.99%,3,74,1,0.00140318941160855,0.0065359477124183
fed,2022-12-01,b90_94,90--94.99%,4,2208,10,0.0418681381193469,0.065359477124183
fed,2022-12-01,b95_100,95--100%,5,50455,142,0.956728672469044,0.928104575163399
fed,2023-01-01,b70_79,70--79.99%,1,0,0,0,0
fed,2023-01-01,b80_84,80--84.99%,2,0,0,0,0
fed,2023-01-01,b85_89,85--89.99%,3,151,2,0.00780563453088653,0.0165289256198347
fed,2023-01-01,b90_94,90--94.99%,4,987,9,0.0510209356422848,0.0743801652892562
fed,2023-01-01,b95_100,95--100%,5,18207,110,0.941173429826829,0.909090909090909
fed,2023-02-01,b70_79,70--79.99%,1,0,0,0,0
fed,2023-02-01,b80_84,80--84.99%,2,0,0,0,0
fed,2023-02-01,b85_89,85--89.99%,3,571,4,0.0121466102235742,0.0190476190476191
fed,2023-02-01,b90_94,90--94.99%,4,2665,17,0.0566912718841073,0.080952380952381
fed,2023-02-01,b95_100,95--100%,5,43773,189,0.931162117892318,0.9
fed,2023-04-01,b70_79,70--79.99%,1,0,0,0,0
fed,2023-04-01,b80_84,80--84.99%,2,0,0,0,0
fed,2023-04-01,b85_89,85--89.99%,3,314,4,0.00446181172291297,0.00997506234413965
fed,2023-04-01,b90_94,90--94.99%,4,2730,29,0.0387921847246892,0.0723192019950125
fed,2023-04-01,b95_100,95--100%,5,67331,368,0.956746003552398,0.917705735660848
fed,2023-12-01,b70_79,70--79.99%,1,0,0,0,0
fed,2023-12-01,b80_84,80--84.99%,2,0,0,0,0
fed,2023-12-01,b85_89,85--89.99%,3,416,8,0.010310811480692,0.0308880308880309
fed,2023-12-01,b90_94,90--94.99%,4,2567,32,0.0636246468051356,0.123552123552124
fed,2023-12-01,b95_100,95--100%,5,37363,219,0.926064541714172,0.845559845559846
fed,2024-04-01,b70_79,70--79.99%,1,0,0,0,0
fed,2024-04-01,b80_84,80--84.99%,2,0,0,0,0
fed,2024-04-01,b85_89,85--89.99%,3,2226,19,0.0287170225117719,0.0338078291814947
fed,2024-04-01,b90_94,90--94.99%,4,8665,81,0.111784815842095,0.144128113879004
fed,2024-04-01,b95_100,95--100%,5,66624,462,0.859498161646133,0.822064056939502
fed,2005-02-01,b70_79,70--79.99%,1,0,0,0,0
fed,2005-02-01,b80_84,80--84.99%,2,0,0,0,0
fed,2005-02-01,b85_89,85--89.99%,3,153,2,0.331887201735358,0.333333333333333
fed,2005-02-01,b90_94,90--94.99%,4,308,4,0.668112798264642,0.666666666666667
fed,2005-02-01,b95_100,95--100%,5,0,0,0,0
fed,2005-03-01,b70_79,70--79.99%,1,0,0,0,0
fed,2005-03-01,b80_84,80--84.99%,2,0,0,0,0
fed,2005-03-01,b85_89,85--89.99%,3,0,0,0,0
fed,2005-03-01,b90_94,90--94.99%,4,248,5,1,1
fed,2005-03-01,b95_100,95--100%,5,0,0,0,0
fed,2021-03-01,b70_79,70--79.99%,1,0,0,0,0
fed,2021-03-01,b80_84,80--84.99%,2,0,0,0,0
fed,2021-03-01,b85_89,85--89.99%,3,20,1,0.00048189287521384,0.0114942528735632
fed,2021-03-01,b90_94,90--94.99%,4,4000,1,0.096378575042768,0.0114942528735632
fed,2021-03-01,b95_100,95--100%,5,37483,85,0.903139532082018,0.977011494252874
fed,2021-04-01,b70_79,70--79.99%,1,0,0,0,0
fed,2021-04-01,b80_84,80--84.99%,2,0,0,0,0
fed,2021-04-01,b85_89,85--89.99%,3,149,1,0.0126765356474392,0.0178571428571429
fed,2021-04-01,b90_94,90--94.99%,4,444,6,0.0377743746809597,0.107142857142857
fed,2021-04-01,b95_100,95--100%,5,11161,49,0.949549089671601,0.875
fed,2021-06-01,b70_79,70--79.99%,1,0,0,0,0
fed,2021-06-01,b80_84,80--84.99%,2,0,0,0,0
fed,2021-06-01,b85_89,85--89.99%,3,0,0,0,0
fed,2021-06-01,b90_94,90--94.99%,4,296,3,0.0172594752186589,0.0491803278688525
fed,2021-06-01,b95_100,95--100%,5,16854,58,0.982740524781341,0.950819672131147
fed,2022-04-01,b70_79,70--79.99%,1,0,0,0,0
fed,2022-04-01,b80_84,80--84.99%,2,0,0,0,0
fed,2022-04-01,b85_89,85--89.99%,3,214,2,0.00272458749236097,0.00938967136150235
fed,2022-04-01,b90_94,90--94.99%,4,778,8,0.00990527602363007,0.0375586854460094
fed,2022-04-01,b95_100,95--100%,5,77552,203,0.987370136484009,0.953051643192488
fed,2024-08-01,b70_79,70--79.99%,1,0,0,0,0
fed,2024-08-01,b80_84,80--84.99%,2,0,0,0,0
fed,2024-08-01,b85_89,85--89.99%,3,220,4,0.00414094262912212,0.0123076923076923
fed,2024-08-01,b90_94,90--94.99%,4,1553,29,0.029231290468303,0.0892307692307692
fed,2024-08-01,b95_100,95--100%,5,51355,292,0.966627766902575,0.898461538461539
fed,2019-11-01,b70_79,70--79.99%,1,0,0,0,0
fed,2019-11-01,b80_84,80--84.99%,2,0,0,0,0
fed,2019-11-01,b85_89,85--89.99%,3,0,0,0,0
fed,2019-11-01,b90_94,90--94.99%,4,0,0,0,0
fed,2019-11-01,b95_100,95--100%,5,211,8,1,1
fed,2019-12-01,b70_79,70--79.99%,1,0,0,0,0
fed,2019-12-01,b80_84,80--84.99%,2,0,0,0,0
fed,2019-12-01,b85_89,85--89.99%,3,0,0,0,0
fed,2019-12-01,b90_94,90--94.99%,4,0,0,0,0
fed,2019-12-01,b95_100,95--100%,5,439,4,1,1
fed,2020-07-01,b70_79,70--79.99%,1,0,0,0,0
fed,2020-07-01,b80_84,80--84.99%,2,180,2,0.054861322767449,0.0833333333333333
fed,2020-07-01,b85_89,85--89.99%,3,100,1,0.0304785126485828,0.0416666666666667
fed,2020-07-01,b90_94,90--94.99%,4,180,2,0.054861322767449,0.0833333333333333
fed,2020-07-01,b95_100,95--100%,5,2821,19,0.859798841816519,0.791666666666667
fed,2020-08-01,b70_79,70--79.99%,1,0,0,0,0
fed,2020-08-01,b80_84,80--84.99%,2,0,0,0,0
fed,2020-08-01,b85_89,85--89.99%,3,30,1,0.00319081046585833,0.0333333333333333
fed,2020-08-01,b90_94,90--94.99%,4,90,4,0.00957243139757498,0.133333333333333
fed,2020-08-01,b95_100,95--100%,5,9282,25,0.987236758136567,0.833333333333333
fed,2020-10-01,b70_79,70--79.99%,1,0,0,0,0
fed,2020-10-01,b80_84,80--84.99%,2,0,0,0,0
fed,2020-10-01,b85_89,85--89.99%,3,0,0,0,0
fed,2020-10-01,b90_94,90--94.99%,4,1050,3,0.129886194952994,0.111111111111111
fed,2020-10-01,b95_100,95--100%,5,7034,24,0.870113805047006,0.888888888888889
fed,2021-02-01,b70_79,70--79.99%,1,0,0,0,0
fed,2021-02-01,b80_84,80--84.99%,2,88,2,0.00948378057980386,0.0588235294117647
fed,2021-02-01,b85_89,85--89.99%,3,0,0,0,0
fed,2021-02-01,b90_94,90--94.99%,4,20,1,0.00215540467722815,0.0294117647058824
fed,2021-02-01,b95_100,95--100%,5,9171,31,0.988360814742968,0.911764705882353
fed,2022-09-01,b70_79,70--79.99%,1,0,0,0,0
fed,2022-09-01,b80_84,80--84.99%,2,0,0,0,0
fed,2022-09-01,b85_89,85--89.99%,3,216,4,0.00354516806722689,0.0242424242424242
fed,2022-09-01,b90_94,90--94.99%,4,4522,12,0.07421875,0.0727272727272727
fed,2022-09-01,b95_100,95--100%,5,56190,149,0.922236081932773,0.903030303030303
fed,2022-11-01,b70_79,70--79.99%,1,0,0,0,0
fed,2022-11-01,b80_84,80--84.99%,2,0,0,0,0
fed,2022-11-01,b85_89,85--89.99%,3,0,0,0,0
fed,2022-11-01,b90_94,90--94.99%,4,817,9,0.0192602371578774,0.0687022900763359
fed,2022-11-01,b95_100,95--100%,5,41602,122,0.980739762842123,0.931297709923664
fed,2007-02-01,b70_79,70--79.99%,1,0,0,0,0
fed,2007-02-01,b80_84,80--84.99%,2,0,0,0,0
fed,2007-02-01,b85_89,85--89.99%,3,1364,4,0.675247524752475,0.363636363636364
fed,2007-02-01,b90_94,90--94.99%,4,656,7,0.324752475247525,0.636363636363636
fed,2007-02-01,b95_100,95--100%,5,0,0,0,0
fed,2023-03-01,b70_79,70--79.99%,1,0,0,0,0
fed,2023-03-01,b80_84,80--84.99%,2,0,0,0,0
fed,2023-03-01,b85_89,85--89.99%,3,915,11,0.0273820924108212,0.0424710424710425
fed,2023-03-01,b90_94,90--94.99%,4,5490,47,0.164292554464927,0.181467181467181
fed,2023-03-01,b95_100,95--100%,5,27011,201,0.808325353124252,0.776061776061776
fed,2013-10-01,b70_79,70--79.99%,1,0,0,0,0
fed,2013-10-01,b80_84,80--84.99%,2,0,0,0,0
fed,2013-10-01,b85_89,85--89.99%,3,0,0,0,0
fed,2013-10-01,b90_94,90--94.99%,4,70,1,0.164319248826291,0.25
fed,2013-10-01,b95_100,95--100%,5,356,3,0.835680751173709,0.75
fed,2014-01-01,b70_79,70--79.99%,1,0,0,0,0
fed,2014-01-01,b80_84,80--84.99%,2,0,0,0,0
fed,2014-01-01,b85_89,85--89.99%,3,0,0,0,0
fed,2014-01-01,b90_94,90--94.99%,4,0,0,0,0
fed,2014-01-01,b95_100,95--100%,5,693,7,1,1
fed,2014-02-01,b70_79,70--79.99%,1,0,0,0,0
fed,2014-02-01,b80_84,80--84.99%,2,0,0,0,0
fed,2014-02-01,b85_89,85--89.99%,3,0,0,0,0
fed,2014-02-01,b90_94,90--94.99%,4,0,0,0,0
fed,2014-02-01,b95_100,95--100%,5,190,3,1,1
fed,2014-03-01,b70_79,70--79.99%,1,0,0,0,0
fed,2014-03-01,b80_84,80--84.99%,2,0,0,0,0
fed,2014-03-01,b85_89,85--89.99%,3,0,0,0,0
fed,2014-03-01,b90_94,90--94.99%,4,250,3,0.280269058295964,0.333333333333333
fed,2014-03-01,b95_100,95--100%,5,642,6,0.719730941704036,0.666666666666667
fed,2014-05-01,b70_79,70--79.99%,1,0,0,0,0
fed,2014-05-01,b80_84,80--84.99%,2,0,0,0,0
fed,2014-05-01,b85_89,85--89.99%,3,0,0,0,0
fed,2014-05-01,b90_94,90--94.99%,4,0,0,0,0
fed,2014-05-01,b95_100,95--100%,5,759,6,1,1
fed,2015-08-01,b70_79,70--79.99%,1,0,0,0,0
fed,2015-08-01,b80_84,80--84.99%,2,0,0,0,0
fed,2015-08-01,b85_89,85--89.99%,3,0,0,0,0
fed,2015-08-01,b90_94,90--94.99%,4,10,1,1,1
fed,2015-08-01,b95_100,95--100%,5,0,0,0,0
fed,2015-11-01,b70_79,70--79.99%,1,0,0,0,0
fed,2015-11-01,b80_84,80--84.99%,2,0,0,0,0
fed,2015-11-01,b85_89,85--89.99%,3,10,1,0.00858369098712446,0.166666666666667
fed,2015-11-01,b90_94,90--94.99%,4,0,0,0,0
fed,2015-11-01,b95_100,95--100%,5,1155,5,0.991416309012876,0.833333333333333
fed,2016-01-01,b70_79,70--79.99%,1,0,0,0,0
fed,2016-01-01,b80_84,80--84.99%,2,0,0,0,0
fed,2016-01-01,b85_89,85--89.99%,3,0,0,0,0
fed,2016-01-01,b90_94,90--94.99%,4,0,0,0,0
fed,2016-01-01,b95_100,95--100%,5,555,7,1,1
fed,2016-02-01,b70_79,70--79.99%,1,0,0,0,0
fed,2016-02-01,b80_84,80--84.99%,2,0,0,0,0
fed,2016-02-01,b85_89,85--89.99%,3,0,0,0,0
fed,2016-02-01,b90_94,90--94.99%,4,50,1,0.163398692810458,0.2
