endorsement_id_full,policy_effective_date,cattle_type,cov_level_pct,coverage_bin,subsidy_amt,total_prem_amt,prod_prem_amt,observed_rate,statutory_rate,rate_gap
16989,2018-12-13,feeder,0.9732,b95_100,165,717,552,0.230125523012552,0.13,0.100125523012552
17134,2019-11-12,fed,0.9757,b95_100,75,249,174,0.301204819277108,0.2,0.101204819277108
17191,2019-12-18,feeder,0.9386,b90_94,39,113,74,0.345132743362832,0.25,0.0951327433628318
17197,2019-12-18,feeder,0.9247,b90_94,26,74,48,0.351351351351351,0.25,0.101351351351351
17200,2019-09-23,feeder,0.8551,b85_89,0,239,239,0,0.3,-0.3
17202,2020-04-06,feeder,0.846,b80_84,668,2228,1560,0.299820466786356,0.35,-0.0501795332136445
17283,2020-05-13,feeder,0.8661,b85_89,203,507,304,0.400394477317554,0.3,0.100394477317554
17334,2019-10-21,feeder,0.8636,b85_89,206,1274,1068,0.161695447409733,0.3,-0.138304552590267
17523,2019-12-17,feeder,0.9745,b95_100,2415,8048,5633,0.300074552683897,0.2,0.100074552683897
17525,2019-12-17,feeder,0.9882,b95_100,2356,7854,5498,0.299974535268653,0.2,0.0999745352686529
17646,2021-04-19,feeder,0.9577,b95_100,0,1433,1433,0,0.35,-0.35
17816,2021-06-22,feeder,0.9978,b95_100,143,1943,1800,0.0735975295934123,0.35,-0.276402470406588
17821,2021-04-01,feeder,1,b95_100,0,300,300,0,0.35,-0.35
17831,2021-06-22,feeder,0.9978,b95_100,170,2251,2081,0.075521990226566,0.35,-0.274478009773434
17836,2021-04-08,feeder,0.998,b95_100,0,280,280,0,0.35,-0.35
17848,2021-06-22,feeder,0.9992,b95_100,171,2933,2762,0.0583020797817934,0.35,-0.291697920218207
17850,2021-06-22,feeder,0.9992,b95_100,204,3394,3190,0.0601060695344726,0.35,-0.289893930465527
17855,2021-06-28,feeder,0.9935,b95_100,403,1533,1130,0.262883235485975,0.35,-0.0871167645140248
17977,2021-06-23,feeder,0.9906,b95_100,0,488,488,0,0.35,-0.35
18020,2021-02-19,fed,0.8464,b80_84,120,234,114,0.512820512820513,0.5,0.0128205128205128
18023,2021-02-19,fed,0.8478,b80_84,122,239,117,0.510460251046025,0.5,0.0104602510460251
18039,2020-07-31,fed,0.9856,b95_100,7187,28749,21562,0.249991304045358,0.35,-0.100008695954642
18124,2021-01-26,feeder,0.9981,b95_100,1515,3366,1851,0.450089126559715,0.35,0.100089126559715
18129,2020-12-29,feeder,0.9931,b95_100,2476,5503,3027,0.449936398328185,0.35,0.0999363983281846
18132,2020-10-01,feeder,0.9889,b95_100,6251,13892,7641,0.449971206449755,0.35,0.0999712064497553
18138,2020-12-29,feeder,0.9932,b95_100,1326,2945,1619,0.450254668930391,0.35,0.100254668930391
18140,2021-03-30,feeder,0.9981,b95_100,2629,5844,3215,0.449863107460643,0.35,0.0998631074606434
18142,2021-01-20,feeder,0.9923,b95_100,3253,8928,5675,0.364359318996416,0.35,0.0143593189964158
18145,2020-12-21,fed,0.9852,b95_100,2016,4479,2463,0.450100468854655,0.35,0.100100468854655
18152,2020-08-21,fed,0.9786,b95_100,2573,10292,7719,0.25,0.35,-0.1
18195,2020-07-08,feeder,0.9914,b95_100,51,204,153,0.25,0.35,-0.1
18265,2020-10-01,feeder,0.9889,b95_100,399,887,488,0.449830890642616,0.35,0.0998308906426156
18266,2020-10-01,feeder,0.9889,b95_100,809,1797,988,0.450194769059544,0.35,0.100194769059544
18449,2020-10-15,feeder,0.9993,b95_100,0,5448,5448,0,0.35,-0.35
18504,2020-11-17,feeder,0.867,b85_89,186,730,544,0.254794520547945,0.45,-0.195205479452055
18591,2021-01-22,feeder,0.9965,b95_100,1243,3108,1865,0.39993564993565,0.35,0.04993564993565
18592,2021-01-22,feeder,0.9965,b95_100,2373,5934,3561,0.39989888776542,0.35,0.0498988877654196
18594,2020-07-20,feeder,0.9932,b95_100,1769,4420,2651,0.400226244343891,0.35,0.0502262443438915
18595,2021-03-31,feeder,0.9932,b95_100,1104,2762,1658,0.399710354815351,0.35,0.0497103548153512
18606,2020-11-18,feeder,0.9935,b95_100,333,740,407,0.45,0.35,0.1
18607,2020-11-12,feeder,0.9879,b95_100,404,896,492,0.450892857142857,0.35,0.100892857142857
18640,2020-11-12,feeder,0.9879,b95_100,683,1518,835,0.449934123847167,0.35,0.0999341238471673
18643,2021-02-23,fed,0.9738,b95_100,64,144,80,0.444444444444444,0.35,0.0944444444444444
18650,2021-03-30,fed,0.9897,b95_100,1468,7598,6130,0.193208739141879,0.35,-0.156791260858121
18651,2021-03-23,fed,0.9908,b95_100,701,3652,2951,0.191949616648412,0.35,-0.158050383351588
18690,2021-03-16,feeder,0.9878,b95_100,2715,6033,3318,0.450024863252113,0.35,0.100024863252113
18710,2021-03-12,feeder,0.9963,b95_100,5643,15442,9799,0.365431938868022,0.35,0.0154319388680223
18891,2020-07-21,feeder,0.9234,b90_94,410,1367,957,0.299926847110461,0.4,-0.100073152889539
18901,2021-02-09,feeder,0.9954,b95_100,0,6602,6602,0,0.35,-0.35
18902,2021-01-25,feeder,0.9983,b95_100,0,3284,3284,0,0.35,-0.35
18903,2021-01-25,feeder,0.9983,b95_100,0,2864,2864,0,0.35,-0.35
19120,2021-03-29,feeder,1,b95_100,2105,5264,3159,0.399886018237082,0.35,0.0498860182370821
19224,2021-06-28,feeder,0.9935,b95_100,0,2079,2079,0,0.35,-0.35
19228,2021-06-28,feeder,0.9935,b95_100,0,1150,1150,0,0.35,-0.35
19294,2021-02-10,feeder,0.9986,b95_100,3949,10431,6482,0.378583069696098,0.35,0.0285830696960982
19340,2021-05-04,feeder,0.9896,b95_100,0,4383,4383,0,0.35,-0.35
19350,2020-07-20,feeder,0.9907,b95_100,957,2127,1170,0.449929478138223,0.35,0.0999294781382229
19351,2021-06-28,feeder,0.9968,b95_100,2079,5739,3660,0.362258233141662,0.35,0.0122582331416624
19352,2021-04-05,feeder,0.9916,b95_100,975,2166,1191,0.450138504155125,0.35,0.100138504155125
19368,2021-04-05,feeder,0.9916,b95_100,1252,3221,1969,0.388699161751009,0.35,0.038699161751009
19408,2021-06-17,feeder,0.9956,b95_100,235,522,287,0.450191570881226,0.35,0.100191570881226
19409,2021-06-17,feeder,0.9956,b95_100,156,345,189,0.452173913043478,0.35,0.102173913043478
19428,2020-08-21,fed,0.9786,b95_100,882,3529,2647,0.249929158401814,0.35,-0.100070841598186
19505,2021-05-24,fed,0.9978,b95_100,2443,5429,2986,0.449990790200774,0.35,0.0999907902007737
19563,2020-08-06,feeder,0.9923,b95_100,752,1672,920,0.449760765550239,0.35,0.0997607655502393
19622,2021-06-16,feeder,0.9878,b95_100,1072,2382,1310,0.450041981528128,0.35,0.100041981528128
19721,2021-04-13,feeder,0.999,b95_100,127,283,156,0.448763250883392,0.35,0.0987632508833923
19724,2021-04-20,feeder,0.9905,b95_100,53,116,63,0.456896551724138,0.35,0.106896551724138
19740,2021-02-16,feeder,0.9975,b95_100,917,2037,1120,0.450171821305842,0.35,0.100171821305842
19741,2021-04-20,feeder,0.9905,b95_100,24,53,29,0.452830188679245,0.35,0.102830188679245
19778,2021-04-14,feeder,0.9955,b95_100,1890,4201,2311,0.449892882646989,0.35,0.0998928826469888
19780,2021-05-24,feeder,0.9992,b95_100,1000,2224,1224,0.449640287769784,0.35,0.0996402877697842
19798,2020-08-03,feeder,0.9791,b95_100,1771,4426,2655,0.400135562584727,0.35,0.0501355625847266
19799,2021-03-09,feeder,0.9943,b95_100,2780,6950,4170,0.4,0.35,0.05
19957,2021-06-30,feeder,0.9905,b95_100,22017,55318,33301,0.398007881702158,0.35,0.0480078817021585
20063,2021-03-11,feeder,0.9895,b95_100,2728,6064,3336,0.449868073878628,0.35,0.099868073878628
20080,2020-11-04,feeder,0.9935,b95_100,1665,3701,2036,0.449878411240205,0.35,0.0998784112402054
20083,2021-06-10,feeder,0.994,b95_100,859,1909,1050,0.449973808276585,0.35,0.0999738082765846
20116,2020-07-24,fed,0.9775,b95_100,1069,4275,3206,0.250058479532164,0.35,-0.0999415204678362
20160,2021-03-16,feeder,0.9879,b95_100,517,1148,631,0.450348432055749,0.35,0.100348432055749
20334,2020-12-17,feeder,0.9537,b95_100,1212,2694,1482,0.44988864142539,0.35,0.0998886414253898
20342,2021-04-09,feeder,0.9927,b95_100,2349,5221,2872,0.449913809615016,0.35,0.0999138096150163
