cattle_type,outcome,design,window_months,fe_setup,event_time,coefficient,std_error,p_value
fed,endorsements,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,2,0.413123243966081,0.482089700734767,0.391476559381642
fed,endorsements,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,3,-0.163416135058587,0.546077866817068,0.76474604155303
fed,endorsements,stacked_local_full_county_month_eventstudy,6,stack_county_plus_stack_month,4,0.405042032469173,0.404787075633576,0.317005791307305
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-12,0.0600501460973296,0.0156014866125168,0.000125492927772646
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-11,0.00146385623619155,0.0127540214350084,0.908643769457713
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-10,0.0503169390012677,0.015210365566245,0.000970110051475455
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-9,0.0596031958728385,0.0151783799051246,9.14707783315127e-05
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-8,0.0646720764340073,0.0157641764949593,4.39195537297941e-05
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-7,0.0527233296361497,0.0156062821558859,0.000755032008307669
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-6,0.0235517722237891,0.0125626168712537,0.0610942983299251
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-5,0.0186217645384697,0.0134362908569578,0.166051610955713
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-4,0.0119652563627339,0.0130350248892448,0.358857937074907
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-3,0.0311427119507782,0.0134628853409018,0.0208955722879013
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-2,0.0143444941518119,0.0133119705759294,0.281466996881824
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,0,0.118161749602078,0.0201748687448328,6.23840209185994e-09
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,1,0.116355009583761,0.0198279978025086,5.83865906680146e-09
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,2,0.0265371120687249,0.0168190718057057,0.114901981076619
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,3,0.0475186892747182,0.0169929934718094,0.00525886941507198
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,4,0.119298501104824,0.0213249263059423,2.79994151353091e-08
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,5,0.130781870506908,0.0224798820799201,7.83404177131535e-09
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,6,0.154078581226397,0.0232666936885145,5.54237795692247e-11
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,7,0.0908098558465108,0.020426158207054,9.65355198919766e-06
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,8,0.212263145844678,0.0213834723378763,2.7249484304282e-22
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,9,0.18459201068208,0.0217926957988012,7.82658338212191e-17
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,10,0.128641968309249,0.0213938132126303,2.48114919187968e-09
feeder,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,11,0.190184624500441,0.0204447116889022,7.2925382448713e-20
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-12,-1.01432761751386,0.818474552127386,0.215237989619753
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-11,-0.672114021851456,1.12475517651169,0.550130404850473
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-10,0.699007958004785,0.937963505944501,0.456126623189155
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-9,-0.495820122954441,0.57097145783327,0.385186408573617
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-8,-0.0171491408106448,0.613478944025342,0.977698903948571
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-7,0.037578726965819,0.774478678143021,0.961300774381478
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-6,0.622279519610629,0.785597466305459,0.428296606110921
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-5,-0.369556901999076,0.557431676026201,0.507353876922012
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-4,-0.784352214501411,0.687188207233815,0.253706171170675
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-3,-0.788349273775197,0.912562944711189,0.387651167455561
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-2,-1.13504007285677,0.794870107322191,0.153304330125795
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,0,-0.999245235503679,0.616792463822649,0.105217843829977
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,1,-0.956855027728523,0.607393019507818,0.115176273366237
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,2,-1.7311290987091,0.651589950892815,0.00788916439248043
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,3,-1.80902356423454,0.736041338971295,0.0139800962442337
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,4,-1.3430129829645,0.577485149038456,0.0200386494613734
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,5,-1.48211516583496,0.604851654706855,0.0142706328229662
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,6,-1.6925436648642,0.602623661646112,0.00497536188996652
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,7,-1.40119812551838,0.594913048581089,0.0185078053601896
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,8,-1.50542574816339,0.594569372437611,0.0113426995136788
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,9,-1.63379134720577,0.59709503230557,0.00621469368463843
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,10,-1.88484412746035,0.609454080469648,0.00198360440855438
feeder,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,11,-1.89249379162968,0.6037662352584,0.00172158403545791
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-12,0.303807662217876,0.703346383530092,0.665780655435339
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-11,0.0654694910371791,1.01153277226596,0.948394506241528
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-10,0.666405867321506,0.776119139772804,0.390539923949613
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-9,0.133200064999757,0.616268880852283,0.828878988987563
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-8,0.465954873991876,0.619746351336704,0.452142647821089
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-7,0.780323836336613,0.705356122783091,0.268603833604048
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-6,0.751622532036731,0.852416283089973,0.37790917653937
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-5,-0.472088521772555,0.47363509022914,0.318893309800404
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-4,-0.654016339480025,0.540253907945001,0.226059420043155
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-3,-0.402146709837384,0.852633105643365,0.637174701097664
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-2,-0.545499236877662,0.804597792390629,0.497785930139709
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,0,-0.677875621384811,0.58088278310999,0.243220510494183
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,1,-0.528350438445422,0.576125839736353,0.359103491386048
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,2,-1.0702117791798,0.546202091652681,0.0500695170293558
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,3,-1.01847697911832,0.559483167047096,0.0686997928812898
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,4,-0.810954678437341,0.526031327222418,0.123159369543665
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,5,-0.845097637209307,0.576161399143021,0.14243798062212
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,6,-1.0995297874159,0.567089733461732,0.0525136226601306
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,7,-0.924170547838564,0.571847220451726,0.106069573748655
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,8,-0.900601038914532,0.564068665919904,0.110351337364058
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,9,-1.11603619674835,0.567079556122285,0.0490632433461943
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,10,-1.40253772132774,0.571458778763975,0.0141154737827446
feeder,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,11,-1.2287823712746,0.561438464281856,0.0286235744071527
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-12,0.0198523112496481,0.0192021863258742,0.301882030584876
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-11,0.0345794056374009,0.0324022146380755,0.286584445956511
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-10,0.0189819482605039,0.0197755929645183,0.337752146455479
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-9,0.102301427215743,0.0470040001150858,0.0301576408287494
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-8,0.0840521972374319,0.0556439292842354,0.131764690193415
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-7,0.0840521972374313,0.0561435598399876,0.135225931385216
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-6,0.103904508487035,0.0572480874847601,0.0703399252274218
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-5,4.59753762838133e-14,1.00000000000245e-08,0.999996334186914
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-4,0.0198523112496483,0.0192021863258743,0.301882030584873
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-3,4.60170096472368e-14,1.00000000000245e-08,0.999996330867308
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-2,0.0198523112496483,0.0192021863258606,0.301882030584529
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,0,0.159483656296625,0.0723147226385199,0.0280430268000558
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,1,0.110992004044285,0.0652236874913933,0.0896537666672252
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,2,0.182784262817507,0.0736332235004836,0.0134967224795863
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,3,0.090304550843854,0.0563572120191087,0.109933956435452
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,4,0.0695203271260724,0.0632321200370458,0.272292126001046
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,5,0.102876143094279,0.0710277279130329,0.148358337796794
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,6,0.0870714564342575,0.0710186590893931,0.220968972614343
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,7,0.0937505276878979,0.0652714381977039,0.151761476660519
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,8,0.0323277681682709,0.0560663863592564,0.564563536543106
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,9,0.0438220857391953,0.0553188059939529,0.428769936592447
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,10,0.0183190686287058,0.0410544168441171,0.655704877076388
fed,any_lrp,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,11,0.053879613613753,0.0562193860847648,0.338499684389464
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-12,37.3727874755859,8282.1151740926,0.996399582920999
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-11,115.534194946289,8283.47722477498,0.988871827713101
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-10,33.7378387451172,8282.34121534372,0.99674985303007
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-9,37.5994567871094,8282.19806830366,0.996377782471601
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-8,36.0267333984375,8282.52794324086,0.996529431121958
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-7,35.4854125976563,8282.6171413009,0.996581614754661
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-6,36.5405578613281,8282.35100801472,0.99647985791099
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-4,37.3727722167969,8282.11518199682,0.996399584394426
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-2,37.3727874755859,8282.11516728635,0.99639958291804
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,0,34.8866882324219,8282.37209090192,0.996639191369118
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,1,33.3126831054688,8282.64330359215,0.996790927377383
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,2,33.6088256835938,8282.27621580581,0.996762256072374
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,3,32.5703125,8282.39216167821,0.99686234580572
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,4,33.175537109375,8282.28659141059,0.99680400119233
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,5,33.8219757080078,8282.3452812416,0.996741749309643
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,6,34.0191040039063,8282.30204132124,0.996722741890013
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,7,32.3143768310547,8282.41894218791,0.99688701125445
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,8,31.4828186035156,8282.57790157441,0.996967176801276
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,9,31.7295684814453,8282.35260717532,0.996943323704383
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,10,32.0633392333984,8282.33003977821,0.996911161555016
fed,insured_head,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,11,32.3578338623047,8282.48315732968,0.996882849032882
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-12,-0.249066948890686,2.18542279692269,0.909263637934762
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-11,119.985259205103,1.54273726278222,0
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-10,-1.36835640668869,1.30480197224387,0.294312481749839
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-9,0.959960013628006,0.996073663073036,0.335174290148435
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-8,0.906785398721695,1.40293544354775,0.518053602140343
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-7,-0.390488058328629,1.54374784718371,0.800308332602754
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-6,0.323368608951569,1.372163857189,0.813693980601539
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-4,-0.24906712770462,2.18542281999385,0.909263574027232
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,-2,-0.249067157506943,2.18542289650027,0.909263566379755
fed,endorsements,stacked_local_full_county_month_eventstudy,12,stack_county_plus_stack_month,0,-0.501857370138168,1.14937770064887,0.662376809022424
