cattle_type,outcome,weighting,event_month,event_reference_month,coefficient,std_error,p_value
feeder,endorsement_share,equal_county_month,-13,-1,-0.107216637153887,0.0517859898021571,0.0401904216518837
feeder,endorsement_share,equal_county_month,-12,-1,-0.134083629537574,0.0474861061929243,0.00541647963860589
feeder,endorsement_share,equal_county_month,-11,-1,-0.115548478985359,0.050292248207555,0.0230188357125376
feeder,endorsement_share,equal_county_month,-10,-1,-0.12233476539279,0.0445347952090353,0.00677856108004798
feeder,endorsement_share,equal_county_month,-9,-1,-0.125381822715138,0.0391691704651148,0.00168280372868677
feeder,endorsement_share,equal_county_month,-8,-1,-0.0949328030592239,0.0390911487206662,0.0163858214407157
feeder,endorsement_share,equal_county_month,-7,-1,-0.089548708739952,0.0372972606823558,0.0176203238556554
feeder,endorsement_share,equal_county_month,-6,-1,-0.12219241421248,0.035543693508015,0.000765654573409853
feeder,endorsement_share,equal_county_month,-5,-1,-0.0993261066283293,0.023942720577902,5.67712397658787e-05
feeder,endorsement_share,equal_county_month,-4,-1,-0.116162372190682,0.0272234409674144,3.55895972038636e-05
feeder,endorsement_share,equal_county_month,-3,-1,-0.105168924148496,0.0195918128207413,3.08834958608041e-07
feeder,endorsement_share,equal_county_month,-2,-1,-0.155912493883292,0.0302940286638844,8.48097839161928e-07
feeder,endorsement_share,equal_county_month,0,-1,-0.159711980201539,0.0218731847900119,1.73353872562685e-11
feeder,endorsement_share,equal_county_month,1,-1,-0.205683699196971,0.0435104844016931,5.3361699002462e-06
feeder,endorsement_share,equal_county_month,2,-1,0.00562269983718413,0.0612953855049288,0.927038208499678
feeder,endorsement_share,equal_county_month,3,-1,-0.106029893545792,0.0324686421700432,0.00136310173990118
feeder,endorsement_share,equal_county_month,4,-1,-0.0822719816582699,0.0332532510970586,0.0145105580110602
feeder,endorsement_share,equal_county_month,5,-1,-0.12643360162062,0.0405348623565768,0.002188563653503
feeder,endorsement_share,equal_county_month,6,-1,-0.116741752079224,0.0419570247015747,0.00611408142406802
feeder,endorsement_share,equal_county_month,7,-1,-0.132285573364056,0.0466188350450804,0.00519723827218227
feeder,endorsement_share,equal_county_month,8,-1,-0.0390165766094616,0.0634109386881878,0.539322925927026
feeder,endorsement_share,equal_county_month,9,-1,-0.136655392514422,0.0658049022017819,0.0395963463216733
feeder,endorsement_share,equal_county_month,10,-1,-0.0949042873316478,0.0677718673712729,0.163544930995621
feeder,endorsement_share,equal_county_month,11,-1,-0.135172878201293,0.0617133541392622,0.0300977226729601
feeder,endorsement_share,volume_weighted,-24,-1,-0.080291748046875,0.0357583408193997,0.0262552353293757
feeder,endorsement_share,volume_weighted,-23,-1,0.0047607421875,0.071628067773518,0.947099369210473
feeder,endorsement_share,volume_weighted,-22,-1,-0.108123779296875,0.0275053687783961,0.000130574648738518
feeder,endorsement_share,volume_weighted,-21,-1,-0.0993499755859375,0.0246394248949473,8.89865968257959e-05
feeder,endorsement_share,volume_weighted,-20,-1,-0.0947723388671875,0.0286856719890837,0.0012015801718251
feeder,endorsement_share,volume_weighted,-19,-1,0.0633087158203125,0.0719626069889375,0.380453358091379
feeder,endorsement_share,volume_weighted,-18,-1,-0.09918212890625,0.0321764668610652,0.00245798877062132
feeder,endorsement_share,volume_weighted,-17,-1,-0.0918731689453125,0.0362995356765993,0.0124413433702497
feeder,endorsement_share,volume_weighted,-16,-1,-0.089019775390625,0.0401790456511412,0.0282794639214507
feeder,endorsement_share,volume_weighted,-15,-1,-0.099517822265625,0.0297631416774255,0.00105233001149541
feeder,endorsement_share,volume_weighted,-14,-1,-0.111709594726563,0.0278956411565315,9.88697980025898e-05
feeder,endorsement_share,volume_weighted,-13,-1,-0.1142578125,0.029801921269702,0.000187455465780095
feeder,endorsement_share,volume_weighted,-12,-1,-0.127655029296875,0.024848081602009,8.84039338137771e-07
feeder,endorsement_share,volume_weighted,-11,-1,-0.120307922363281,0.0314507195159358,0.000193513185896211
feeder,endorsement_share,volume_weighted,-10,-1,-0.124435424804688,0.0262456186827399,5.02738099863186e-06
feeder,endorsement_share,volume_weighted,-9,-1,-0.129119873046875,0.0239857686739187,2.87885607431044e-07
feeder,endorsement_share,volume_weighted,-8,-1,-0.0999832153320312,0.0289978318597914,0.000739574069039174
feeder,endorsement_share,volume_weighted,-7,-1,-0.0903778076171875,0.0298388557007836,0.00290687081616278
feeder,endorsement_share,volume_weighted,-6,-1,-0.150836944580078,0.0413491367135423,0.000368025938318671
feeder,endorsement_share,volume_weighted,-5,-1,-0.10400390625,0.0173186578533663,1.46593859543843e-08
feeder,endorsement_share,volume_weighted,-4,-1,-0.118587493896484,0.024598196863858,3.56846528182453e-06
feeder,endorsement_share,volume_weighted,-3,-1,-0.110593795776367,0.0241493065494435,9.94878010112037e-06
feeder,endorsement_share,volume_weighted,-2,-1,-0.148861885070801,0.026992285339306,1.55680917060893e-07
feeder,endorsement_share,volume_weighted,0,-1,-0.159537315368652,0.0288284868301814,1.42347520447978e-07
feeder,endorsement_share,volume_weighted,1,-1,-0.219226837158203,0.0438823604030781,1.66251230494383e-06
feeder,endorsement_share,volume_weighted,2,-1,-0.0287284851074219,0.0529715928122545,0.588418516334207
feeder,endorsement_share,volume_weighted,3,-1,-0.0980186462402344,0.0351385813521592,0.00598882868208329
feeder,endorsement_share,volume_weighted,4,-1,-0.0757293701171875,0.0273516627543954,0.00636308441623938
feeder,endorsement_share,volume_weighted,5,-1,-0.118515014648438,0.0304402328566149,0.000150336193857316
feeder,endorsement_share,volume_weighted,6,-1,-0.109977722167969,0.0322532360905042,0.000842140821974023
feeder,endorsement_share,volume_weighted,7,-1,-0.100341796875,0.0362020679993667,0.00630799792659653
feeder,endorsement_share,volume_weighted,8,-1,-0.004486083984375,0.066655243058613,0.94643336795474
feeder,endorsement_share,volume_weighted,9,-1,-0.0708541870117188,0.0514727213736838,0.17077683071897
feeder,endorsement_share,volume_weighted,10,-1,-0.094482421875,0.0437457750010039,0.0324315363742034
feeder,endorsement_share,volume_weighted,11,-1,-0.1220703125,0.0364574298528106,0.00103612995173988
fed,head_share,equal_county_month,-24,-2,0.306740704186441,0.304325123381452,0.352389347753417
fed,head_share,equal_county_month,-22,-2,0.326546267672723,0.31756269297457,0.343470750410188
fed,head_share,equal_county_month,-21,-2,0.324649270662949,0.319715497606551,0.349083785786554
fed,head_share,equal_county_month,-20,-2,0.212766934034166,0.220774492668002,0.372399067946818
fed,head_share,equal_county_month,-19,-2,0.146491033244255,0.246478309460894,0.573998341119026
fed,head_share,equal_county_month,-17,-2,0.119249898130507,0.219719598634721,0.606867289458824
fed,head_share,equal_county_month,-13,-2,0.156914461060827,0.1570571404352,0.356323297467412
fed,head_share,equal_county_month,-12,-2,0.143293893503953,0.143675286480631,0.357103940490211
fed,head_share,equal_county_month,-10,-2,0.15826605509801,0.164669447014416,0.373610651299644
fed,head_share,equal_county_month,-9,-2,0.0892683575250721,0.0873849412957062,0.346402305859
fed,head_share,equal_county_month,-4,-2,0.0343293530489615,0.0369255238539746,0.388404766384107
fed,head_share,equal_county_month,3,-2,-0.153161453006972,0.0495765184648026,0.0214043841932777
fed,head_share,equal_county_month,4,-2,-0.113620386049721,0.100921020075863,0.303242538819221
fed,head_share,equal_county_month,5,-2,-0.0988880818657281,0.0972571738408159,0.348496571002229
fed,head_share,equal_county_month,6,-2,-0.105420431487385,0.103739279461154,0.348743905686626
fed,head_share,volume_weighted,-24,-2,0.0934813812929995,0.121563180744663,0.471073578087461
fed,head_share,volume_weighted,-22,-2,0.0973907625696832,0.125850778973067,0.468399042993087
fed,head_share,volume_weighted,-21,-2,0.0923498081233485,0.125834394909265,0.490682091546725
fed,head_share,volume_weighted,-20,-2,0.0677252780680248,0.086245148342715,0.462170327419012
fed,head_share,volume_weighted,-19,-2,-0.0195104682156963,0.0854197158812348,0.826915239331266
fed,head_share,volume_weighted,-17,-2,-0.0277213289208248,0.0748808972298753,0.723946046688214
fed,head_share,volume_weighted,-13,-2,0.0483216474147924,0.0634799556247996,0.47537461977292
fed,head_share,volume_weighted,-12,-2,0.0442162170622281,0.0582031096801204,0.476219369022597
fed,head_share,volume_weighted,-10,-2,0.034258847083326,0.0642809488204998,0.613217253069853
fed,head_share,volume_weighted,-9,-2,0.0300963932316633,0.0384202451597225,0.463213398874203
fed,head_share,volume_weighted,-4,-2,0.0113727742417137,0.0161448134319429,0.507575546605053
fed,head_share,volume_weighted,3,-2,-0.109829935972111,0.0315583489843152,0.0131390089898043
fed,head_share,volume_weighted,4,-2,-0.0562278709849628,0.0629470285146965,0.406119141467942
fed,head_share,volume_weighted,5,-2,-0.0305251809886291,0.0393638455089157,0.467519913936343
fed,head_share,volume_weighted,6,-2,-0.0310562742998359,0.0399773578922721,0.466761858861934
fed,endorsement_share,equal_county_month,-24,-2,0.269712498403831,0.251998493300032,0.325640931858686
fed,endorsement_share,equal_county_month,-22,-2,0.339180100873522,0.302849591114904,0.305548275822431
fed,endorsement_share,equal_county_month,-21,-2,0.258652004510453,0.252492638969845,0.345163378231613
fed,endorsement_share,equal_county_month,-20,-2,0.178105102671231,0.175471616757958,0.34927001200632
fed,endorsement_share,equal_county_month,-19,-2,0.107531371686027,0.20761218198827,0.62303385373985
fed,endorsement_share,equal_county_month,-17,-2,0.0837300809206739,0.185739661980429,0.667971709700946
fed,endorsement_share,equal_county_month,-13,-2,0.138805399194392,0.131584755747821,0.332096169578644
fed,endorsement_share,equal_county_month,-12,-2,0.126904753811716,0.120645944121026,0.333362885443486
fed,endorsement_share,equal_county_month,-10,-2,0.132646866085328,0.151841623075223,0.415933402447826
fed,endorsement_share,equal_county_month,-9,-2,0.0765345462630554,0.069742907032047,0.314551536784548
fed,endorsement_share,equal_county_month,-4,-2,0.0316995907503056,0.0334935610359962,0.380464559699837
fed,endorsement_share,equal_county_month,3,-2,-0.154282826732851,0.0354742076310659,0.00482700759577012
fed,endorsement_share,equal_county_month,4,-2,-0.10694622222836,0.0883177116760511,0.27145214227293
fed,endorsement_share,equal_county_month,5,-2,-0.0872536676712137,0.0806078784921656,0.320626696562393
fed,endorsement_share,equal_county_month,6,-2,-0.0912560130689342,0.083843203092683,0.318188006313937
fed,endorsement_share,volume_weighted,-24,-2,0.397020552510736,0.321346178309279,0.262825551365925
fed,endorsement_share,volume_weighted,-22,-2,0.458937388316256,0.360320226805898,0.249886095085292
fed,endorsement_share,volume_weighted,-21,-2,0.379563299991866,0.317046306597138,0.276383439923477
fed,endorsement_share,volume_weighted,-20,-2,0.297883464473723,0.234818622971556,0.251588773294963
fed,endorsement_share,volume_weighted,-19,-2,0.212153153163163,0.254116285185183,0.435767404675216
fed,endorsement_share,volume_weighted,-17,-2,0.17721165857697,0.226161631327203,0.46309650187397
fed,endorsement_share,volume_weighted,-13,-2,0.204842332286674,0.167432207786751,0.267029403229113
fed,endorsement_share,volume_weighted,-12,-2,0.187371584993577,0.153455140015022,0.267878692848883
fed,endorsement_share,volume_weighted,-10,-2,0.189309962030009,0.18152654714318,0.337190546580509
fed,endorsement_share,volume_weighted,-9,-2,0.125207976826079,0.0961113033968991,0.240426847657695
fed,endorsement_share,volume_weighted,-4,-2,0.0476056066488044,0.0423323696247763,0.303738848254472
fed,endorsement_share,volume_weighted,3,-2,-0.172203287284962,0.0565930543244162,0.0227199978826981
fed,endorsement_share,volume_weighted,4,-2,-0.157591617352782,0.103313548839094,0.178011512143907
fed,endorsement_share,volume_weighted,5,-2,-0.130737972426747,0.104601449660402,0.257888844005543
fed,endorsement_share,volume_weighted,6,-2,-0.131323236969698,0.105949958320036,0.261446531605801
